학교명,과목명,공식교과군
남원여고등학교,생명과학,과학과
남원여고등학교,생물의 유전,과학과
남원여고등학교,세포와 물질대사,과학과
남원여고등학교,역학과 에너지,과학과
남원여고등학교,융합과학 탐구,과학과
남원여고등학교,전자기와 양자,과학과
남원여고등학교,지구과학,과학과
남원여고등학교,지구시스템과학,과학과
남원여고등학교,통합과학1,과학과
남원여고등학교,통합과학2,과학과
남원여고등학교,행성우주과학,과학과
남원여고등학교,화학,과학과
남원여고등학교,화학 반응의 세계,과학과
남원여고등학교,생애 설계와 자립,교양과
남원여고등학교,진로와 직업,교양과
남원여고등학교,공통국어1,국어과
남원여고등학교,공통국어2,국어과
남원여고등학교,독서와 작문,국어과
남원여고등학교,문학,국어과
남원여고등학교,문학과 영상,국어과
남원여고등학교,화법과 언어,국어과
남원여고등학교,기술·가정,기술·가정과
남원여고등학교,창의 공학 설계,기술·가정과
남원여고등학교,윤리문제 탐구,도덕과
남원여고등학교,윤리와 사상,도덕과
남원여고등학교,인문학과 윤리,도덕과
남원여고등학교,현대사회와 윤리,도덕과
남원여고등학교,경제,사회과
남원여고등학교,금융과 경제생활,사회과
남원여고등학교,기후변화와 지속가능한 세계,사회과
남원여고등학교,도시의 미래 탐구,사회과
남원여고등학교,동아시아 역사 기행,사회과
남원여고등학교,법과 사회,사회과
남원여고등학교,사회문제 탐구,사회과
남원여고등학교,사회와 문화,사회과
남원여고등학교,세계사,사회과
남원여고등학교,세계시민과 지리,사회과
남원여고등학교,여행지리,사회과
남원여고등학교,역사로 탐구하는 현대 세계,사회과
남원여고등학교,정치,사회과
남원여고등학교,통합사회1,사회과
남원여고등학교,통합사회2,사회과
남원여고등학교,한국사1,사회과
남원여고등학교,한국사2,사회과
남원여고등학교,한국지리 탐구,사회과
남원여고등학교,경제 수학,수학과
남원여고등학교,공통수학1,수학과
남원여고등학교,공통수학2,수학과
남원여고등학교,기하,수학과
남원여고등학교,대수,수학과
남원여고등학교,미적분Ⅰ,수학과
남원여고등학교,미적분Ⅱ,수학과
남원여고등학교,수학과 문화,수학과
남원여고등학교,수학과제 탐구,수학과
남원여고등학교,실용 통계,수학과
남원여고등학교,확률과 통계,수학과
남원여고등학교,공통영어1,영어과
남원여고등학교,공통영어2,영어과
남원여고등학교,미디어 영어,영어과
남원여고등학교,세계 문화와 영어,영어과
남원여고등학교,실생활 영어 회화,영어과
남원여고등학교,심화 영어,영어과
남원여고등학교,심화 영어 독해와 작문,영어과
남원여고등학교,영미 문학 읽기,영어과
